,vacancy_id
4531,131732500
4537,131755298
4543,131676209
4544,129555760
4547,131667822
4553,131668019
4554,131494130
4568,131509568
4573,131071052
4574,130791964
4576,130791758
4586,131410457
4587,131391463
4588,131389489
4592,131316216
4593,131315498
4594,131315255
4595,131314747
4602,131315287
4603,131351130
4612,131068205
4616,131351038
4625,131037182
4630,129320672
4637,130962177
4640,131653357
4649,131510397
4652,131780652
4653,131653922
4670,131620714
4687,131790496
4709,131783047
4712,131056955
4752,130937456
4767,131793706
4789,131211077
4790,131771876
4791,131599083
4803,131783703
4809,130612442
4822,131781417
4824,131531761
4826,130359118
4827,130359172
4828,130359232
4829,130762665
4834,131602874
4847,131782895
4851,131327106
4852,131326994
4857,131326514
4861,130951921
4870,131495704
4874,131481962
4883,131498753
4885,131791601
4907,131018167
4910,131494763
4928,130977145
4929,131002321
4932,131753266
4948,131034228
4959,131785057
4960,131753822
4965,129431924
4967,131419890
4969,131711869
4971,131002264
4976,131768826
4979,131768164
4980,131617412
4982,131323538
5000,131737914
5007,131196941
5012,131479815
5018,131747710
5027,131723140
5058,130164913
5061,91082028
5063,131710721
5070,131311324
5072,131223800
5078,131617823
5079,131665052
5081,131638268
5087,129453232
5093,131395704
5100,131223801
5101,131748949
5110,131731972
5118,130977095
5151,128967043
5155,131716029
5179,131334195
5194,131273067
5208,131722880
5210,131202161
5211,130100787
5221,131721928
5231,131612827
5232,131746699
5235,131423583
5245,131449264
5259,131584215
5272,131272679
5277,130947213
5280,131072741
5298,131680968
5318,131756778
5353,131685612
5376,131706041
5377,131183149
5381,131085037
5385,131473501
5386,128706629
5388,129442436
5394,131707823
5398,131673181
5399,131543125
5404,130973796
5406,131392271
5408,130805429
5414,129673016
5429,131726184
5430,131726185
5431,131272852
5442,131215861
5457,131667304
5458,130536829
5463,131696759
5467,131707867
5487,131713908
5492,130359270
5514,128074899
5526,131529666
5531,131619931
5539,131715090
5547,130692086
5555,130917469
5560,131595662
5592,131672130
5606,130220887
5611,131637593
5703,131581690
5707,131601049
5721,130829540
5731,130677309
5749,131680983
5768,131530844
5779,131606651
5805,131492521
5825,131415040
5833,131516650
5838,131600374
5845,130393834
5868,131459255
5874,131621511
5898,130374976
5899,131472191
5949,131351051
5961,131536589
5973,130984708
5974,130984709
5995,131615898
6000,131610177
6017,131420451
6040,131433112
6045,131548878
6051,131586135
6056,131344428
6077,131529936
6080,131460945
6082,129574019
6091,130640448
6092,130539193
6112,131566463
6125,128904334
6139,130363133
6157,131521817
6161,131479798
6180,131587829
6182,131161083
6184,131269987
6200,131297853
6208,131565811
6214,131389712
6215,131591510
6226,129392099
6245,131519937
6293,131452199
6301,131553911
6304,131553269
6306,131676010
6307,131554170
6308,129967402
6309,129963062
6310,129024920
6311,131623646
6312,131623647
6313,131623648
6314,131127126
6315,131124682
6316,131100016
6317,131623649
6319,130072625
6320,131788653
6321,130893366
6325,130242203
6327,131054969
6328,129701968
6330,131752419
6331,131739530
6333,131728596
6334,130355565
6335,131041431
6336,131373711
6337,131258970
6338,131577408
6339,131183028
6345,131041481
6346,131041500
6347,131041487
6348,130991117
6349,131709240
6350,131715479
6353,128489437
6354,128489438
6355,128489439
6356,130298819
6357,130298820
6358,131701079
6359,131311560
6360,131689877
6361,131690364
6363,130407784
6366,121478088
6369,131624913
6376,131013567
6378,131602383
6379,131600059
6383,131579152
6384,131589001
6389,130806839
6392,130241722
6395,131464335
6396,128954268
6397,131475998
6398,131523337
6399,130652637
6400,131297490
6402,128498124
6403,131296461
6404,131483840
6405,131482757
6409,131477982
6410,131212654
6415,131293448
6419,130954443
6422,131262263
6426,129901597
6431,131315901
6440,131163282
6441,131162752
6442,131260123
6446,130298834
6447,131163242
6448,131163133
6449,131162959
6452,131158932
6453,130967349
6457,131068859
6459,130527097
6460,130661215
6467,131161409
6471,130978811
6473,128489450
6474,129837946
6475,129837947
6476,129837949
6477,129464912
6478,129464913
6479,129464914
6480,129464915
6481,129464902
6482,129464903
6483,129464904
6484,129464905
6485,129464906
6486,129464907
6487,129464908
6488,129464910
6489,129464911
6490,129464892
6491,129464894
6492,129464896
6493,129464897
6494,129464898
6495,129464899
6496,129464900
6497,129464901
6498,129464887
6499,129464888
6500,129464891
6501,131149494
6502,131149495
6503,131149496
6504,130298831
6505,130298832
6506,130298833
6507,130298827
6508,130298828
6509,130298829
6510,130298830
6511,130298824
6512,130298825
6513,130298826
6514,130298821
6515,130298822
6516,130298823
6517,130949508
6518,130949509
6529,131520354
6536,131757997
6544,131600219
6545,131616656
6546,131547240
6548,131548681
6549,131548489
6550,129400966
6551,131357152
6552,131169614
6553,131066991
6558,130329563
6559,130827392
6562,130375495
6563,131516497
6564,131516498
6565,131038998
6566,131513882
6567,131733350
6568,131737165
6569,131679937
6570,131008177
6571,131637493
6572,131645318
6573,131565578
6574,131609336
6575,131502852
6576,130098946
6577,128020964
6578,131275217
6579,131271883
6580,131430684
6581,131200614
6582,131714894
6583,131714943
6584,129436816
6587,131587484
6589,131221268
6590,126416685
6591,131239791
6592,131742803
6593,131704984
6594,130953602
6595,131626601
6596,130957400
6598,131116007
6599,131494293
6600,131590650
6601,130709345
6602,131071631
6603,131781844
6604,131099200
6605,131283607
6606,131686790
6607,131693106
6608,131160503
6609,131349618
6610,131537534
6611,131532450
6612,130801781
6613,131668807
6614,131108681
6615,131287318
6616,131148924
6617,130368212
6618,131569485
6619,131141608
6620,131025059
6621,131678944
6622,131705712
6623,131483162
6624,129623646
6625,131247752
6662,131657328
6668,131652571
6672,129273642
6837,131667143
6876,131515200
6961,131732707
6981,131130265
6993,131267535
7005,131087536
7015,130097088
7104,130100497
7137,131379440
7224,130910744
7301,131253619
7373,131519946
7419,130800239
7462,130862336
7496,130825407
7545,131281788
7582,128031380
7653,131427065
7689,131319410
7690,131319411
7711,131559117
7712,131559036
7720,130475774
7804,131427149
7805,131427150
7807,131420840
7843,131055337
7844,131055338
7874,130524603
7906,131464103
7939,131055207
7940,131055208
7947,130641725
8056,131389777
8080,131636074
8099,131426303
8183,130436012
8212,131266007
8219,130913479
8255,127765105
8263,131331278
8376,130695384
8423,129214315
8437,131502560
8438,131423992
8439,130939680
8440,130939681
8441,130939682
8442,131126702
8443,131126703
8444,130217518
8445,131007666
8446,131038356
8447,131771210
8448,131038334
8450,131782367
8451,131172112
8452,131587288
8453,131745803
8454,131745813
8455,131493532
8456,131611473
8457,131656202
8458,131794753
8459,131769628
8460,131759055
8461,131780900
8462,131367730
8463,131328598
8464,131740204
8465,131723424
8466,131755904
8467,131346886
8468,131111409
8469,131207516
8470,131011557
8471,131745454
8472,131009234
8473,130701464
8474,131579806
8475,131106898
8476,131033648
8477,131211990
8478,125435906
8479,131542350
8480,129763454
8481,130925123
8482,131708096
8483,131095361
8484,131093916
8485,131572200
8486,131677073
8487,131621890
8488,131657155
8489,131497503
8490,131485399
8491,131603241
8492,130533828
8493,131495825
8494,131496713
